,video_id,rating
325,OudFElslbh4,41
326,gmXuUgB7T3Y,50
327,oePt4JgdyZo,14
328,LpZqwLZP5Vs,-1
329,fCh5TVGaTSg,1
330,u6iVspBWzZU,26
331,-cYk6sbe11c,18
332,U1bpztJkdzk,21
333,Mq9dxmh6JiE,24
334,7Gw-lN270qs,8
335,lwOQbMcXtfU,3
336,_NlKTMvnjIc,6
337,Pp19TkIU_fw,29
338,C3cwtcomilA,13
339,3x-sUsazQ90,47
340,PJZOghDtOCM,0
341,_uLmn_Dba08,22
342,7Lyo5dCig-U,18
343,vSDCb3bdFlw,-4
344,BdV0dkx2oik,-4
345,PTXykKsrxpY,37
346,amds5iNvFD4,34
347,PHXkhUJWTXM,1
348,X7ld45pUueQ,13
349,3hq2c9vdfls,0
350,wGQtrwey-TI,34
351,_GC5AVsf528,34
352,7nh2Ra-5kY8,41
353,J_e77K4n6Ts,16
354,AHrCI9eSJGQ,78
355,jehAZhrI7oA,6
356,qPDZZj6By3Y,14
357,0tOUQt5fem0,5
358,zJufeAMRHy8,40
359,UpONjs5kLPc,0
360,H9KaqCBEvvg,10
361,f5F2whaRzqw,4
362,MmAL1EOkLUo,1
363,4LwpGaDKmZ8,19
364,5kZi3J2S52E,31
365,Alp_a88C8dY,10
366,WAwRqecvMSY,-6
367,pAsN4lSa7O0,43
368,uAipi4V5g34,8
369,9e6WeQeBjOI,2
370,CayHgjP1YNQ,45
371,xtDJ6uEyvnw,14
372,8QgMh02JvS8,16
373,fQxLlq7lxVM,59
374,T2W7UocH0Hs,31
375,zPGRU49esCU,43
376,ykvX-E1nuag,36
377,8fH_PAi6Yf4,80
378,a6sywFdvURE,16
379,pwHvK07tUuw,58
380,bF5sIEuv83k,54
381,7Ag2oDIeLvo,0
382,REyxoxScrbU,40
383,368_ovPsJk8,12
384,tBN9kLaS-uw,39
385,etmUU1bs41s,22
386,bvim4rsNHkQ,36
387,bZJpwidiMco,37
388,CYoRmfI0LUc,16
389,w-n3qiLeVqg,20
390,1u5jO57eD-U,19
391,FSOxXsYVJMQ,21
392,Xul7ku1XxRY,13
393,scIizw2asro,37
394,7YAAyUFL1GQ,35
395,nImFZRtGeAQ,17
396,cNgT8qEQJ3w,22
397,bvomHFZO0mk,22
398,XSLc0d5aM04,1
399,F4ELqraXx-U,34
400,TngCi2s5rmk,8
401,0eKdNcP4xrM,38
402,XpVt6Z1Gjjo,4
403,9YyB6sQ4iwA,18
404,xHvVhhFvLtY,21
405,cOboLQMO4tQ,-7
406,WYYvHb03Eog,13
407,MdBu21i9aEE,48
408,IDvy0ybpOUI,21
409,Zya-JNMJ62k,12
410,LolP3Y7_Irs,40
411,cxLQAuQsOWI,43
412,zKriLekFPwg,57
413,4X6a3G_0HjY,-11
414,t4QwhVt5Zk0,30
415,B8G8m08G_yo,13
416,O-eWLaO3gy4,49
417,AQa9pEkQ_0Y,58
418,UqmxHwLI9yg,32
419,cLdxuaxaQwc,9
420,CzYM4ZpSDJg,16
421,QQVWMp_xgGg,11
422,l864IBj7cgw,14
423,Wb-6fhfAn2I,32
424,sjlHnJvXdQs,23
425,_HTXMhKWqnA,22
426,CcoBJ-dEjGg,2
427,dWWQsXRwHb4,34
428,YSVlSmZWzm0,26
